fr	bbj
Spike Lee attendu à la Can.	Spike Lee wə́ sɔʼ m KAN
le Minanc demande 31 milliards pour donner vie pôles artistiques et culturels.	Minac wə́ hə́ŋtə́ shûʼ shǎʼ 31 tə́ nə nyaptə nwə nə̂ və pú a mkɔ̀.
Le Cameroun est un pays de distraction - Petit Pays.	Petí Peyí ghɔm gaə́ Kaməlûm bə́ tsʉʼ nə də́ tâm.
Le réalisateur américain Spike Lee annonce sa visite au Cameroun sa terre d'origine.	Gɛvə nyaptsə́kefelí yə Ámélíka Spike Lee wə́ ŋkányə́ nə́ sɔʼ Kaməlûm tsʉʼ yə pú dzə́ é nə́ áá.
Voici les images de la cérémonie d'inhumation de Wes Madiko.	Yɔ́ mciŋnyə vʉ̌ Wes Madikǒ mɔ̌.
Coco Emilia est mère.	Cocó Emília zhʉ́ mâ mú.
Pierre Ismaël Bidoung Mkpatt réclame 31 milliards.	Pierre Ismaël Bidoung Mkpatt wə́ ŋkhʉɔ́ shûʼ shǎʼ 31
les premiers pas de J Money 103 dans l’univers musical camerounais.	Pâʼ J Money 103 nə ŋkó ntʉ́m mzhwopshyə Kaməlûm áá.
Décès de Wes Madiko:voici le programme de ses obsèques en France.	Vʉ̌ Wes Madíkò: mtyə̌ʼ vʉ́ mɔ̌.
Longue Longue humilie en mondovision Fingon Tralala accusé de vol.	Longue Longue tám nɔm nə̂ Fibgon Tralala Mɔŋdóvision ŋké é gaə́ shúŋ.
la chanteuse Nika l'ex de Longue Longue en prison à Dubaï appelle à l'aide.	jwopshyə Níka yə é bə́ bvo mə̂ghap Longue Longue á cɛ́ Dubaî dó gaə́ pú kwítə́ é.
Maalhox Tenor et Mink's en showcase ce 2 juillet.	Maalhox, Tenor gə́ Mink's gɔ zhwop nə́ tyə̂ʼ batə 2 nə́ Dzʉ̂ʼbvʉ yə̌ŋ.
Charlotte Dipanda prépare deux évènements majeurs au Cameroun.	Sharlotte Dipandǎ wə́ nyáptə́ mnwə gwyə́ mə́bʉə́ Kaməlûm.
Éric Christian Nya s’explique sur le malentendu avec Coco Argentée.	Eric Christian wə́ ntútə́ nwə yə â bə́ cəcə̌ wáppú Cocó Argentée áá.
Tenor se désolidarise du communiqué de Eunice Zunon.	Tenor ghɔm gaə́ e ka zhyə́ tsyə́ nwə nə́ ŋkʉɔbvəvə Eunice Zunon
Marlène Emvoutou tire sur Malicka.	Marlène Emvoutou wə́ ŋkó tsə́ Malíckà
Boris Bertolt déshabille la go galaxie.	Boris Bertolt cwɔ́ʼ dzə́ nə̂ La gó Galaxîe
Coco Argentée devance la CRTV et donne sa part de vérité.	Coco Argentée tám dzə̌ CRTV gɔ́m yə nwə nyə́nyɔ́.
A force de vous précipiter vous épouserez la mauvaise personne - Brenda Biya.	Brendá Biyâ gɔm gaə̂: Pó gɔ pə́ lóʼnyə́ cwə́ lɔ́mdyə́ á bî dhə̂ cwə̀pùŋ.
tous ceux qui ont assisté au mariage de Chantal - Roméo Dika sont morts'.	Guŋ pɔ pyə wáp lə ghɔ lɔ́mdyə́ Chantál pû Romeo Dika á pfʉ́tə́ awɛ́.
une vidéo de Lady Ponce fesses en l'airsecouela toile.	Taʼ ciŋnyə shyəyə Lady Ponce bə é pʉ́ʼ msâk myə́ thə́ wə́ gɔ́mnwə nə́ mə̂lɔ̌mgəgʉɔ́.
Brenda Biya ouvre son propre hôtel.	Brendá Biyǎ cwɔ̂ʼ yə otɛ̂l.
Sextape /Sidiki Diabaté publie des photos nues de Maty Kone sa compagne.	tsə́nɔ̀m/ Sidiki Diabaté cyanyə mfǒto mə̂ghap e Maty Kone e á nə́ kwa dzə́.
Un couple d’homo surpris en plein ébats s3xuel sur une plage.	Pú cáʼ mbɛ̂mjwǐ pú mjwǐmbɛ̂ wáp pə́ kə́shyə núŋnyə́ mnə̂ máp.
Les scientifiques évaluent les preuves de l'origine du virus.	Pəzhyə́ wə́ détə́ ywə́ yə a kə lə vilʉ̂s sɔ́ʼ lə.
TB Le télévangéliste nigérian enterré à Lagos.	Pú tə́ŋ TB Joshwa yə ê gə yûʼjɔ́ nwəsí Nizhérya á Légôs
Viol au Cameroun:les femmes signalent rarement les agressions sexuelles contre elles.	Nuŋ mo təkuŋŋkúŋŋ́ Kaməlûm: pəjwǐ gɔm â shə́mcwə gə́ pú faʼ mfaʼ təŋkuŋkúŋ nə́ pú.
Comment des jeunes ont gagné des millions de dollars grâce à la vente en ligne.	Páʼ ŋkɛ̂mo dzʉ́pe mshûʼ mshúʼ dolâ jʉm sim aŋlînyə̀.
Jovenel le président haïtien a été tué dans une attaque à son domicile.	Pú kěʼ sɔʼ ŋkám Jovənɛl dôguŋ Ayíti pə́ dyə́ é.
Trafic de témoignage d'une jeune britannique qui a été emprisonnée au Pérou.	Taʼ mûgo yə Brətânyə bə pú lě níŋ é cɛ́ Pelû wə́ gɔ́mnwə nə́ é
Jovenel l'assassinat du président haïtien et ce que l'on sait de la situation.	Jovenel Dòguŋ Ayiti yə pú kə jwə́ é â ba pâʼ kə cyətə áá
La guerre de deux décennies expliquée en 10 points.	Shu ŋkaʼ 20 bə pú tútə́ nə̂ mzhəŋ 10.
Zaila Avant- une adolescente entre dans l'histoire au concours d'orthographe américain.	Zaila Avâŋ- taʼ gogǒ və tsyə tsǒ nə́ pəghə mləŋtə bʉɔ̌ŋwaʼ amelíkà.
Comment savoir si votre téléphone portable a été piraté et ce que vous pouvez faire pour l'éviter.	Páʼ pə́ po ghə̂ tə́ nə́ jyə́ bə́yə ŋkhətʉɔ̂ yɔ̂ bə pú zhʉ̀, ba bʉɔ̌ vɔk yá.
Jeux pourquoi les jeux de survie sont- ils si populaires ?.	Mfyə̂: Nwəkə́ pɔmnəŋ pə́ ŋkuŋ mfyə̂ nə shɔ́knyə́ə́?
De scélérat à qui est Gareth Southgate le manager de l'équipe d'Angleterre ?.	 mswɔppɔ pyə Gareth Southgate ntə́mtə pətám fəbɔ Aŋglətɛ́ bí pú á lə́?
Comment les pirates utilisent les joueurs pour s'enrichir en cryptomonnaies.	Páʼ mcûŋ shyə m nə́ pəfyə̂ gə́ ŋkáp ntʉ́m kliptómonɛ̂.
Comment votre visage vieillit avec l'âge (au- delà des rides).	Páʼ sə̂ yɔ̂ bvo tə cwə́ ŋə́tə dú nə́ ŋkaʼdzʉ̂ tsɔ́ áá.
Jeux olympiques Tokyo des athlètes namibiennes prêtes à lutter contre les interdictions liées à la testostérone.	Mfyə̂ Olɛmpîdə Tókyo, pəkhʉdʉ̌ wə́ máʼnyə́ nə́ kəŋnyə mcoʼ myə ǎ wə́ dé mtɛtósətelɔ̂nə̀.
Jovenel la vieille industrie du mercenariat colombien serait à l'origine de l'assassinat du président haïtien.	Pə̂ a pə̂ bə tsʉʼfaʼ gwyə́ Jonevel yə â bə̂ yə́ mɛsənɛ Kolɔ̂mbə á né lə zhwə̌ dôguŋ Hayítì.
Virgin Richard Branson et son long et sinueux chemin vers l'espace.	Virgin Branson nə̂ jyə sʉsʉɔ e nə́ kəm nə̂ tsʉʼfɔ̌k.
L'histoire dramatique d'un petit garçon migrant de 2 ans trouvé seul sur une route mexicaine.	Tɔné taʼ mû guʼ pʉə́ bə pú yɔ́ é dǒ é mə̂jyə Mɛktsîk.
Santé et bien- les nombreux avantages à se tenir sur un pied.	Nə̂tʉɔ pú a pə̂ntʉɔ̀: stə́ tsyə á puŋ nə́ tíŋnyə thə́ nə̂ taʼ kwə ó lə.
Comment décrocher un poste intéressant dans le domaine de la cybersécurité ?.	Páʼ pə́ mo ghə̂ tə́ gwím shwəfaʼ pəpúŋ ntʉ́m mə́kuʼmfaʼsybɛ̂ lə
Voici comment on gardait le contenu des lettres secret même sans enveloppe.	Yɔ́ páʼ pú kə̂ gə dwɔ́ʼ ŋkʉɔ ntʉ́m mŋwaʼnyə tə sam ŋwaʼnyə á yə̌ŋ.
A la redécouverte des racines africaines de l'art martial brésilien.	Pə yɔ́ páʼ ŋkuŋ və marsyâ po á Brezîl lə̂ fə́ á Afríkà.
Stephen sa prédiction sur les trous noirs prouvée 50 ans plus tard.	Ywə́ yə Stephen lə ghɔm nə́ mghʉ̂m sə́sə́ á twɔ́k ŋkaʼ 50 pú yɔ́ a pə́ nyə́nyɔ́
"Un dispositif ""Tinder Covax"" pourrait- il aider le monde à produire davantage de vaccins ?."	"Pə̂ taʼ ywə́faʼ ""Tinder Covax"" ghə̂ pú nyâp mkóʼpú tə á yɔ́m a?"
Reckya Madougou espère sortir de prison dans deux semaines.	Rekkya Mamugǔ wə́ mɔ́ktə́ gaə́ pə̂ gap pʉə́ nə̂ kuʼ e tə́m cɛ́.
Jacob le combattant de la liberté devenu président et aujourd'hui prisonnier.	Zakɔ̂p, ntûŋkwa nə̂ ləpʉə tə cwə́ jʉ́ dôgùŋ daʼgaə́ nə̂ miŋ bə́ â gɛcɛ́ tyə́ʼ ɔ.
La rivalité croissante au Golfe qui fait grimper les prix du pétrole.	Pəfiŋ kəlasí yɔ́m ntʉ́m Gɔ̂lfə yɔ̌m tə dəŋ kəlasí ŋkwɔ́ʼ
Jihan la première dame d'Égypte qui a transformé les droits des femmes.	Jihan, jwî dôguŋ Egípto yə e kwyə́pnyə́ mcoʼ myə â bɔ́mtə́ pəjwǐ.
Tout ce qu'il ne faut pas faire le Brésil l'a fait.	Guŋ tsə́ tsyə a tə̂ shə́ŋ gaə́ pú ghə́ á pə Brezíl ghə̀.
Les mutations qui rendent le variant delta du virus plus contagieux et plus inquiétant.	Ntîntǐ msənyə myə â gə vilʉ̂s waʼ dɛ́lta pîŋ shɔ́k teʼ nə́ maʼ gho á wə́ sɔ́lám pɔ̀mnə̀ŋ.
peut- on apprendre à être heureux ?.	Pə́ pú lányə nə́ yûʼpəpúŋ a?
Les femmes musulmanes indiennes à vendre sur une application.	Pəjwǐ camthə́sí Ɛŋdə̂ nə̂ taʼ aplikasyɔ̂ŋ pú á wə́ fíŋŋ́.
Un homme meurt sur le coup après que le test ADN sur son fils est revenu négatif.	Taʼ tǎmbɛ̌ tám pfʉ́ jʉm páʼ pú diŋtə ADN a lâʼtə gaə́ mú tə̂ bə̂ yə́ á pə́.
Elle sort avec le père et fils et devient star sur les réseaux sociaux (vidéo).	Ê ntə́m pú a táp e mú e pîŋ jʉ́ sətá nə̂ lezó sosyô. (ciŋnyə shyəcyə)
Tension entre Niamey et Bamako après les déclarations de Bazoum.	Ǎ wə́ bɛ́ cəcə̌ Nyamê pû Bamakô jʉm ywə́ yə Bazûm kə ghɔm lə.
Elle liste les critères que doit remplir son futur mari.	Ě tʉɔ́tə́ mtiŋ myə dhə̂ ê gɔ ghə áá.
Brenda Biya conseille ses abonnés sur le choix du partenaire.	Brendá Biyǎ wə́ há ntɔ́k bí pəjúʼ e nə̂ tiŋ mə̂ghap yə á puŋ bí  pú áá.
"En effet dans une nouvelle sortie Brenda Biya conseille ses abonnés sur le choix du partenaire ""idéal""."	Daʼgaə̂ Brendá Biyǎ kə pə̌ á tyə́ʼmô gɔ́m shyányə́ ntɔ́k nə̂ mtiŋ mə̂ghap yə̀ ntʉɔ̀.
Elle estime qu'en la matière il faut beaucoup de patience.	Ê sɛ́ gaə́ â sɔʼ m nə́ pú lə pə́ gɔ́ lə mlóʼnyə kó nə́.
Ce sont les critères que doit remplir un bon mari qui ont retenu l'attention de la fille de Paul et Chantal Biya.	Â bə́ mtiŋ buŋ dhə́ myə Brenda Biya mû Paul Biya pû Chantal Biya jɔ́ gaə́ ǎ puŋ lə.
En réalité Brenda Biya préfère les hommes blanc.	Kwaʼ nyə́nyɔ́, Brenda Biya ŋkuŋ pó a bɛ̂ pədɔ̌k.
Mais si son mari est noire et ne maltraite pas ses animaux de compagnie elle pourra l'épouser.	Daʼgaə́ ɗhə̂ e pə́ mo sə́sə́, láʼ e nə́ŋ bə́ də́ mnɔm pyə́ jɔ́ góʼ, bə pə́ e kûŋ é.
Mon futur mari doit tolérer si possible aimer mes 4 chiens et mon 1 chat.	Mo yə ê gɔ cwə́ lɔ́m á dyə́ â gɔ píŋ nə́ kuŋ bvʉ̂ tsaə̌ 4 gə́ púsi á 1.
J’aime pas les gens qui chassent ou botte mes bébés.	Ŋ ka kúŋ mo yaə́ yə ê jəŋ kə də́ mkwə ntám pô pə̌ á pə́.
C’est surtout les noirs; les blancs adorent les animaux !.	Gɔ́m teʼ gɔ́m pɔ sə́sə́; pədɔ̂k ŋkuŋ mnɔ̀m.
Arrêtez de maltraiter les animaux domestiques des autres' écrit Brenda Biya.	Brɛ́ndá Biyâ ŋwaʼ gaə̂: po yáʼ nə́ pə̂ də́ mnɔm láʼ shə́pɔ jɔ́ góʼ.
Cependant selon elle il ne s’agit pas de rechercher n’importe quel amour.	Daʼgaə́ e pə́ wə́ jɔ́ gaə́ a ka púŋ bí í nə́ cə̂ŋ bǎyá ntî ŋkuŋnyə lə́.
Il est question pour Brenda Biya de rechercher un amour spécifique.	Brendá Biyâ bə́ wə́ shə́ŋ ŋkuŋnyə nyə́nyɔ́.
Je veux un genre d’amour réconfortant calme et sûr' a- t- elle écrit.	Ě ŋwaʼ gaə̂: Gaə̂ bə́ wə́ shə́ŋ ŋkuŋnyə yə nyə́nyɔ́, yə a tə́ gɔ há púʼthə̂ á pə́, yə á gɔ cwə́ áá.
Et cette publication est suivie de sa photo en couverture de «BREF MAGAZINE» une publication éponyme de Brenda Biya.	Mcuŋ mɔ myə Brenda gap à bə pú yáp fóto é nə́ dəm  «BREF MAGAZINE», taʼ tsʉʼ nəshýnyə́ mcuŋ Brendà.
Une image du local incendiée.	Taʼ ciŋnyə tsʉʼcwə bə á khə́.
Il s'agit de Alino Alino qui réside un bon bout de temps dans ce pays de Nelson Mandela.	Pû gɔm Alíno Alíno yə e shwə́ ntʉ́m guŋ Nelson Mandéla tə á pə́ â sak áá.
Il a été victime d'une agression xénophobe.	Á bə pú kə ghə̂ khyə nə́ é.
Les rapports d'enquête évaluent son entreprise à plus de 100 millions de francs.	Pú cə́ŋ mcuŋ nə̂ tsʉʼfaʼ gwyə̂ é tə jɔ́ gaə́ ǎ ghə ntwa shûʼ 100
Cet incendie est une grosse perte pour le chanteur camerounais basé en Afrique du Sud.	Nwə yə̌ŋ wə́ bə́ kwaʼ pî gwyə́ bí jwopshyə mu e Kaməlûm yə ê shwə́ Afrik du Sud.
Roméo Dika et Chantal Ayissi.	Roméo Dika pû Chantál Ayísí
Je n'ai pas assisté au mariage ni à la dote en 1994.	N datə pə́ sí nə̂ lɔ̌mdyə̂ ba tyə́ʼ cwɔ̂ʼluʼ nə́ 1994.
La plupart de ceux qui ont assisté au mariage entre deux sont morts.	Boʼyɔ̂m nə̂ pɔ pyə wáp lə ghɔ lɔ́mdyə̂ yáp lě mpfʉ́.
D'après ses dires Roméo a montré la voie à Chantal Ayissi au Bénin pour être célèbre.	Páʼ Romeô  nə gɔ́m á, yʉ́ né lə̂ daʼtə mə̂jyə bí Shaŋtál Ayísí tə́ e nə̂ ntʉɔ́ɔ́.
Mais aujourd'hui dit- il elle paye le prix de ses sacrifices ainsi que Roméo Dika malgré leur divorce.	Daʼgaə́ Shaŋtál ayísî gaə́ ǎ tyə́ʼ ɔ ba yʉ̂ ba Romeo Dika á wə́ dzʉ́pe mfaʼ mtsiʼnyə máp cyə ba m gaə́ wáp lě hapnyə.
Il révèle que Roméo Dika est aujourd'hui paralysé des deux pieds et qu'il utilise les béquilles.	Pû gaə́ â bə́ tyə́ʼɔ bə mkwə Romeó Dika cʉ́m mə́bʉə́ awɛ́ tə e pə́ də â mpəŋ mkoʼtə gíŋŋ́.
Ayissi Leduc a déshabillé publiquement sa soeur déclarant avec véhémence qu'il a décidé de ne plus taire.	Ayísí Ledʉ̂k kə swâdzə́ nə́ fə̂ e yə mjwǐ bí lâʼlǎʼ gɔ́m m pûʼ gəŋ thə́ gaə́ ě lə nə́ cətə piŋ dɔ́k shwə é.
Sa parole s'est libérée après des années de silence.	É gɔm pôʼ bə á cyə mguʼ tə jɔ́m páʼ e bə́ dɛ́tə́ áá.
Jai longtemps gardé le silence j'ai encaissé trop de chose mais aujourd'hui il faut que la vérité se sachea - t- il déclaré.	É gɔm gaə̂: N də̌ lɛ́tə̂ lə́ pú câp á daʼgaə́ tyə́ʼ ɔ ǎ wə́ shə́ŋ gaə́ mnwə nyə́nyɔ́ tə́m bâwə̌lə́ zhyə́.
Elle se dit inquiète pour sa soeur qui est seule contre la famille qui lui demande laisser tomber ses pratiques occultes.	Ê gɔm gaə́ ě wə́ shɔ́m â daʼ fə̂ e yə mjwǐ yə ê bə́ â dǒ é jʉm pɔ tuŋdyə́ pyə wâp bə́ wə́ ŋkə́m é sʉɔ lə.
Chantal Ayissi n'a pas encore réagi à cette information secrète divulguée par son frère.	Shaŋtál Ayísí ka wɛ́ ŋaʼ shwə é nə̂ mnwə dʉmtʉm mɔ myə fə̂ e shyanyə áá.
Les rapports entre les deux se sont dégradés en 2020.	Nə́pə̂ yáppú é lə̂ ŋkətʉʼ fə́ 2020.
Cette dernière a traité en mondovision Ayissi Leduc d’homosexuel sadique .	Mo yəŋ yə pú gɔm á kê Ayísí Leduc nə̂ MɔŋdóVizyɔ̂ŋ gaə́ jɔ̂gôʼ mbɛ̂mjwǐ.
À 58 ans un vieux père comme toi tu fais le djansang plus qu’une femme tu crées les faux profils pour me nuire.	Ô gə ŋkaʼ 58, bvo tâmbɛ̂ páʼ wú á, jaə á wə́ ŋkə́m gwop nə̂ o tə shyə́ mjwǐ, lə́ dʉmnyə jʉm pəlofîl təmodíŋ lə́ hábɔ̂k ǎ.
C’est de ma faute si tu es sorti homme ?.	Myə né lə̂ gaə́ ó tə́m mbɛ̂ a?
J’ai tant supporté Tu n’as pas de couilles et ne seras jamais Zomlo’oa- t- elle déclaré.	Ê gɔm bí gaə̂: N də̌ yúʼ dɛ́tə́. Á bə o ka ghə́ mdzo olə nə́ŋ gɔ́ láʼ sɔmtyə́ʼ pə́ Zomloʼo.
Lady Ponce la diva du bikutsi.	Lédí Pɔ̂ŋsə mə́cwɔ̂k gɛvə bikútsí.
Les internautes ont critiqué la diva du bikutsi pour avoir porté cette tenue qui montre clairement ses parties intimes.	Pəɛŋtɛrnót pya mə́cwɔ̂ʼ gɛvə bikútsí nə̂ dzə́ kwa a pə́ wə́ dáʼtə́ nə̂ e awɛ́.
Si c'est mon mariage je te met à la porte mm avec le cachet que je t'ai donné part avec.	A pə̂ lɔ́mdyə̂ a o phə̂nyə̀, ba pú a ŋkǎp yə gaə nəbé ó áá. gaə̌ ták bû.
Mais elle n'a visiblement rien à faire des commentaires des internautes.	Ǎ hwə́ á ywə́ yə pɔmnə̂ŋ gɔm nə̂ ɛŋtɛrnót á tə̂ ŋkə́m bâ cyə nə́ é á pə́.
Elle a effectué une visite chez son frère Rémy Ngono avec qui elle a dansé le bikusti.	E kə ghɔ̌ ŋkájuŋ wə́ fə̂ é Remí Ngɔnɔ tə pú é nə̂ŋ bikútsí áá.
Chantal Ayissi et son frère Leduc.	Chantal Ayissi pú fə̂ e Leduc.
Le torchon brûle encore entre Leduc et sa soeur Chantal Ayissi.	Ǎ wə́ bɛ́ cəcə̂ Chantal Ayissi Leduc pú fə̂ e Leduc.
Mais qu'elle ne parvient pas à remplir ses conditions.	Daʼgaə́ bə é yɔ́ gaə́ e tə́ wə́ ŋkúʼ nə́ ghiŋ nə̂ mcoʼ Ayísí pə́.
À 58 ans un vieux père comme toi tu fais ledjansang plus qu’une femme tu crées les faux profils pour me nuire.	 Ô gə ŋkaʼ 58, bvo tâmbɛ̂ páʼ wú á, jaə á wə́ ŋkə́m gwop nə̂ o tə shyə́ mjwǐ, lə́ dʉmnyə jʉm pəlofîl təmodíŋ nə hábɔ̂k ǎ.
Mon rêve est de donner le meilleur de moi en toute circonstance.	Gaə̂ dɔ á nə́ faʼ ywə́ yə gʉ̂ʼ á píŋ á bǎ nə̂ yaə kə́lə́.
Il est artiste musicien- batteur et percussionniste.	Ê bə́ zwɔpshyə bíŋ bə́ búʼtsə́.
Il a imprimé sa griffe aux côtés de plusieurs artistes de renom.	Â bə é cyə m nə̂ mfaʼ myə́ bvə́ tsô tsyə́ dzə̌ boʼyɔ̂m pəmə́cwɔ̂ʼ jwopshyə.
Il touche à tous les instruments à percussion.	Ê búʼ guŋ tsə̂ bûʼpǔʼ.
De la batterie à la percussion en passant par le tam- tam le tambours le balafon etcDzou Libasky touche à tout.	Ntóʼ nə̂ batelî, ŋwá᷅ nə̂ tə̌m, ŋkàk, jɛ̌, ó gɔ tʉɔ́tə́ kə́ ták kə? Dzu Libaskî búʼ guŋ tsə́ awɛ́.
Il est aimé et suivi par plusieurs artistes de renom et ses fans.	Pəmə́cwɔ̂ʼ jwopshyə pú a pɔpyə̂ ŋkuŋ é.
Cette notoriété il la doit à plusieurs années à l’école de la pratique.	Tʉɔ e yə̂ŋ pôʼ dú nə̂ mfaʼ myə dəŋ mgùʼ.
Plus pratique que théorique son apprentissage s’est fait sur plusieurs divers styles registres et genres musicaux.	Ê lə́ nə̂ zhǐʼtə́  bə́ búʼ guŋ mwaʼ awɛ́ a cyə̂ dəŋ səkú yá.
Âgé de 35 ans aujourd’hui Dzou Libasky s’intéresse très jeune à tout ce qui se rapporte à la musique.	Dzu Libasky nə̂ pə̌ guʼ 35 tyə́ʼ ɔ bə e lə̂ níŋthə̂ é nə́ guŋ tsə́ tsyə ǎ lé shwopshyə á fə́ á tə ŋkɛ̂mò.
Et il manie aisément plusieurs d’ailleurs.	É nə́ŋ júʼ thə̂ é nə̂ shə́ pótsə́ kwaʼ pəpúŋ.
Cela ne l’empêche pas de se mettre à l’école du chant en même temps.	A tə̂ ŋkɔ é nə́ piŋ bə́ jíʼtə̂ ba kwaʼ shwopshyə pə́.
Depuis lors son travail est salué un peu plus chaque jour.	Tə́ fə́ cwə ó, pû gámtə́ faʼ tsyə́ bǎsólə́ a pə́ gɔ á dzə̀.
« J’aime ce qu’il fait et les messages qui découlent de ses différents slows » apprécie Afred Zang un mélomane.	Taʼ moŋkuŋ Afred Zang gɔm gaə̂: «Gaə̂ ŋkuŋ mfaʼ myə̂ ba khʉɔ yə â tə́m ntʉ́m pyanyə́ zhwop mslow myə́ áá».
« Ma devise est de donner le meilleur de moi en toute circonstance » confie- t- il.	Ê gɔm gaə̂: «Gaə̂ dɔ á nə́ faʼ ywə́ yə gʉ̂ʼ ǎ píŋ á bǎ nə̂  kə́ywə́ lə́».
Il n’entend d’ailleurs par s’arrêter en si bon chemin.	E tə̂ bap nə́ miŋ nə́ yəŋ dhə pə́.
Car le percussionniste pense par ailleurs au développement du secteur de l’art musical qui peine à nourrir son homme au Cameroun.	Nə̂kə́lə́ bûʼtsə̂ sɛ̂ ba nə́ sê mnwə há və shwopshyə myə a tə̂ bə́ Kaməlûm gwɛ bə́ wə́ gwɛ́ bé á pə́.
Et il a sa bien sa petite idée sur la question.	Á bə é nə́ŋ gə́ yə mûywə́ yə pə́ e pâʼ nə́ áá.
Que chaque collectivité territoriale décentralisée construise des salles de spectacles » propose Dzou.	Ê gɔm gaə̂ : Â shə́ŋ gaə́ guŋ mtísuŋ pfɔp kwə́ taʼ dyə̂ tsə́ kéfelí».
Ce qui aiderait à préserver nos cultures et traditions ».	Á gɔ kwítə́ wɔ́kpə nə́ nîŋdəŋ nə̂ kɔ tsɔ́kpə̀.
A la trentaine passée le fils d’Elig Aken dans la région du centre sait qu’il a encore à donner à son pays le Cameroun.	Mû Elig Aken yə ê bə é twɔ́k ŋkaʼ 30 á ghɔm gaə́ é gɔ tə́ faʼ bî Kaməlûm.
Nicolas Paez et Nabila.	Nikolá Paez pû Nabílà
Nabila a donné naissance à un petit garçon.	Nabílǎ tsə́ mûmbɛ̂.
Mon fils aujourd'hui ta maman m'a fait le plus beau des cadeaux.	Mû à, mɔ̌ há taʼ fʉʼ yə á ghámtə́ á bə̂m tyə́ʼ ɔ.
Je n'ai pas les mots pour décrire ce que je ressens.	Ŋka zhyə́ páʼ pə̂ gə tə́ nə́ goʼtə ó áá.
Mais je te promets de faire tout ce que je peux pour que tu aies la vie que tu mérites.	Daʼgaə́ gaə̂ gɔ təla ghə guŋ tsə́ tsyə á puŋ bû lə.
Nabila merci à toi tu es une brave femme.	Nabila motəókwâ, ô bə́ mjwǐ.
Le chéri de Nabila n'est plus tant à présenter Il est très connu du milieu du showbiz camerounais.	Pú tə̂ gɔ piŋ phə́ dakkwyə́ Nabíla phə́ pə́, Â bə pú zhyə́ é awɛ́ ntʉ́m shóbîz.
Le jeune homme a toujours été vu en bonne compagnie notamment avecSamuel Eto’o Kolo Touré Mr P ou encore Fabio Capello.	Pû dəgʉ́ʼ jɔ́ mûsəm yəŋ nə̂ pəpúŋ pú a pɔmnəŋ páʼ Samʉɛ́l Etò, Koló Turê, Tá P kə Fabyo Kapelô lə̂.
